year,2,3,4,5,6,total,category,data_source,collection_location,data_source_notes,collection_location_notes,to include in SR model for Atnarko Lakes sockeye,additional_comments
2025,0,0,110,7,0,117,Escapement,age batch,S Atnarko R abv Lonesome Lk,age batch details - Aug 2026,,y,
2025,0,33,147,27,0,207,Escapement,age batch,Atnarko R bel Stillwater,age batch details - Aug 2026,,n,
2024,0,1,1,0,0,2,Escapement,age batch,Atnarko R abv Tenas,age batch details - Aug 2026,,m,
2024,0,2,76,25,2,105,Escapement,age batch,S Atnarko R abv Lonesome Lk,age batch details - Aug 2026,,y,
2024,0,1,17,0,0,18,Escapement,age batch,S Atnarko R abv Rainbow,age batch details - Aug 2026,,m,
2024,0,2,2,0,0,4,Escapement,age batch,S Atnarko R abv Stillwater,age batch details - Aug 2026,,m,
2024,0,8,41,8,0,57,Escapement,age batch,S Atnarko R bel Stillwater,age batch details - Aug 2026,,n,
2023,0,3,44,44,0,91,Escapement,age batch,S Atnarko R bel Stillwater,age batch details - Aug 2026,,n,
2023,0,0,71,23,1,95,Escapement,age batch,S Atnarko R abv Lonesome Lk,age batch details - Aug 2026,,y,
2023,0,1,6,3,0,10,Escapement,age batch,S Atnarko R abv Rainbow,age batch details - Aug 2026,,m,
2022,0,2,116,29,0,147,Escapement,age batch,S Atnarko R bel Stillwater,age batch details - Aug 2026,,n,
2022,0,0,54,27,2,83,Escapement,age batch,S Atnarko R abv Lonesome Lk,age batch details - Aug 2026,,y,
2021,0,4,97,28,1,130,Escapement,NuSEDs,S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026 ,,y,
2021,0,0,0,1,0,1,Escapement,NuSEDs,S Atnarko R abv Rainbow,NuSEDs pull titled: Age readings data Feb 2026 ,,m,
2021,2,1,5,1,0,9,Escapement,NuSEDs,S Atnarko R abv Stillwater,NuSEDs pull titled: Age readings data Feb 2026 ,,m,
2021,0,5,52,38,0,95,Escapement,NuSEDs,S Atnarko R bel Stillwater,NuSEDs pull titled: Age readings data Feb 2026 ,,n,
2020,2,1,21,0,0,24,Escapement,NuSEDs,S Atnarko R bel Stillwater,NuSEDs pull titled: Age readings data Feb 2026 ,,n,
2020,0,5,167,6,0,178,Escapement,NuSEDs,S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026 ,,y,
2020,0,1,4,0,0,5,Escapement,NuSEDs,S Atnarko R abv Stillwater,NuSEDs pull titled: Age readings data Feb 2026 ,,m,
2019,0,4,101,24,0,129,Escapement,NuSEDs,S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026 ,,y,
2018,0,3,166,35,1,205,Escapement,NuSEDs,S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026,Referenced KM review of escapement ages previously. Archived mainstem otoliths somewhere at ageing lab. Need to change location in NUSEDS (sample number 2018/0139 and 2018/0357)- listed as Atnarko River- Should read S Atnarko Abv Lonesome Lk. ,y,
2017,0,1,83,15,0,99,Escapement,NuSEDs,S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026,"Referenced KM review of escapement ages previously. No mainstem samples submitted this year. Location in NuSEDs as ""Lonesome Lake""",y,
2016,0,0,25,19,0,44,Escapement,NuSEDs,S Atnarko R bel Stillwater,NuSEDs pull titled: Age readings data Feb 2026,Referenced KM review of escapement using sampling sheets to tease apart Atnarko River from Above Lonesome Lake spawners,n,
2016,0,11,152,37,0,200,Escapement,NuSEDs,S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026,Referenced KM review of escapement using sampling sheets to tease apart Atnarko River from Above Lonesome Lake spawners,y,
2015,0,2,92,6,0,100,Escapement,NuSEDs,S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026,Referenced KM review of escapement. Note that no mainstem brood samples submitted this year,y,
2014,0,17,6,10,0,33,Escapement,NuSEDs,S Atnarko R bel Stillwater,NuSEDs pull titled: Age readings data Feb 2026,labelled as Atnarko River in location,n,
2014,0,51,169,6,0,226,Escapement,NuSEDs,S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026,,y,
2013,0,8,55,38,3,104,Escapement,NuSEDs,mixed source: S Atnarko R bel Stillwater and S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026,cannot separate source. Contains samples from both brood collections from Above Lonesome and Below the Lakes. I believe predominantly contains below the lakes broodstock samples.,n,
2013,0,13,104,79,4,200,Escapement,NuSEDs,S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026,,y,
2012,0,4,42,17,0,63,Escapement,NuSEDs,S Atnarko R bel Stillwater,NuSEDs pull titled: Age readings data Feb 2026,,n,
2012,0,5,173,20,2,200,Escapement,NuSEDs,S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026,incorrect listing in NuSEDs,y,
2011,0,5,38,13,0,56,Escapement,NuSEDs,unknown,NuSEDs pull titled: Age readings data Feb 2026,"no information found on origin. Previous account in 2019 did not find any datasheets or info with Nuxalk, STAD, FM, or SEP",n,
2010,0,2,30,21,1,54,Escapement,NuSEDs,unknown,NuSEDs pull titled: Age readings data Feb 2026,"no information found on origin. Previous account in 2019 did not find any datasheets or info with Nuxalk, STAD, FM, or SEP. Suspected Mainstem brood samples.",n,
2009,0,5,108,63,1,177,Escapement,NuSEDs,unknown,NuSEDs pull titled: Age readings data Feb 2026,further information found in KM review in 2019. Indicated samples came from Above Lonesome and/or Above Stillwater spawners. Unclear what portion and which area,m,
2008,0,14,100,7,0,121,Escapement,NuSEDs,S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026,further information found in KM review in 2019.,y,
2008,0,0,18,8,0,26,Escapement,NuSEDs,S Atnarko R bel Stillwater,NuSEDs pull titled: Age readings data Feb 2026,further information found in KM review in 2019.,n,
2007,0,11,25,33,6,75,unk,NuSEDs,unknown,NuSEDs pull titled: Age readings data Feb 2026,further information found in KM review in 2019.,n,
2007,1,2,7,3,0,13,escapement,NuSEDs,S Atnarko R abv Stillwater,NuSEDs pull titled: Age readings data Feb 2026,further information found in KM review in 2019.,m,
2007,0,0,1,4,0,5,escapement,NuSEDs,S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026,further information found in KM review in 2019.,y,
2007,0,0,1,0,0,1,escapement,NuSEDs,S Atnarko R abv Rainbow,NuSEDs pull titled: Age readings data Feb 2026,further information found in KM review in 2019.,m,
2007,0,0,0,1,0,1,escapement,NuSEDs,Rainbow lake shore,NuSEDs pull titled: Age readings data Feb 2026,further information found in KM review in 2019.,m,
2005,1,4,22,5,0,32,escapement,NuSEDs,S Atnarko R bel Stillwater,NuSEDs pull titled: Age readings data Feb 2026,further information found in KM review in 2019.,n,
1997,0,0,38,14,0,52,escapement,original ATN spreadsheet,S Atnarko R abv Lonesome Lk, Location referenced from Matt Mortimer and Steve-Cox Rogers original Atnarko R. spread sheet for breakout by source. They cited raw data from Box 3. Sept 23/1997 seine above Lonesome,,y,
1997,2,25,15,2,0,44,escapement,original ATN spreadsheet,S Atnarko R abv Stillwater, Location referenced from Matt Mortimer and Steve-Cox Rogers original Atnarko R. spread sheet for breakout by source. They cited raw data from Box 3. Sept 23/1997 seine below Lonesome,,m,
1974,0,26,117,48,1,192,escapement,original ATN spreadsheet,unknown,Matt Mortimer notes: Dead-pitch Oct 3rd. Suggests could be from between Lonesome Lake and Tenas lake. No certainty in site,no information found in further review,n,
1976,0,0,42,49,0,91,in-river FSC,KM MSC dataset,BCR,bellacoolariverFSC_sockeye_scaleandage_verified_June4_2025_withfinal_ages,,,
1977,0,2,42,2,0,46,in-river FSC,KM MSC dataset,BCR,bellacoolariverFSC_sockeye_scaleandage_verified_June4_2025_withfinal_ages,,,
1978,0,22,425,270,4,721,in-river FSC,KM MSC dataset,BCR,bellacoolariverFSC_sockeye_scaleandage_verified_June4_2025_withfinal_ages,,,
1979,0,11,109,57,0,177,in-river FSC,KM MSC dataset,BCR,bellacoolariverFSC_sockeye_scaleandage_verified_June4_2025_withfinal_ages,,,
1980,0,23,291,58,1,373,in-river FSC,KM MSC dataset,BCR,bellacoolariverFSC_sockeye_scaleandage_verified_June4_2025_withfinal_ages,,,
1981,0,8,95,52,0,155,in-river FSC,KM MSC dataset,BCR,bellacoolariverFSC_sockeye_scaleandage_verified_June4_2025_withfinal_ages,,,
1982,0,3,71,36,0,110,in-river FSC,KM MSC dataset,BCR,bellacoolariverFSC_sockeye_scaleandage_verified_June4_2025_withfinal_ages,,,
1983,0,4,84,59,1,148,in-river FSC,KM MSC dataset,BCR,bellacoolariverFSC_sockeye_scaleandage_verified_June4_2025_withfinal_ages,,,
1984,0,4,27,18,0,49,in-river FSC,KM MSC dataset,BCR,bellacoolariverFSC_sockeye_scaleandage_verified_June4_2025_withfinal_ages,,,
1985,0,1,123,100,2,226,in-river FSC,KM MSC dataset,BCR,bellacoolariverFSC_sockeye_scaleandage_verified_June4_2025_withfinal_ages,,,
1986,0,2,123,55,1,181,in-river FSC,KM MSC dataset,BCR,bellacoolariverFSC_sockeye_scaleandage_verified_June4_2025_withfinal_ages,,,
1987,0,17,209,87,6,319,in-river FSC,KM MSC dataset,BCR,bellacoolariverFSC_sockeye_scaleandage_verified_June4_2025_withfinal_ages,,,
1988,0,8,206,56,1,271,in-river FSC,KM MSC dataset,BCR,bellacoolariverFSC_sockeye_scaleandage_verified_June4_2025_withfinal_ages,,,
1989,0,31,55,12,0,98,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026 ,,,
1990,0,69,277,58,2,406,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026 ,,,
1991,0,45,316,40,0,401,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026 ,,,
1992,0,1,56,20,0,77,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
1993,0,0,7,1,0,8,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
1997,0,1,6,4,0,11,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
1998,0,4,7,8,0,19,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
1999,0,27,63,17,0,107,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2003,0,13,118,66,2,199,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2005,1,8,61,58,7,135,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2006,0,1,44,11,1,57,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2008,0,2,27,3,0,32,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2009,0,7,14,6,0,27,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2010,0,1,47,8,0,56,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2011,0,0,1,5,0,6,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2012,0,1,22,5,0,28,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2014,0,7,16,2,0,25,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2016,0,1,12,10,0,23,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2018,0,0,22,10,0,32,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2019,0,0,36,13,1,50,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2020,0,0,5,3,0,8,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2021,0,1,3,2,0,6,in-river FSC,NuSEDs,BCR,NuSEDs pull titled: Age readings data Feb 2026,,,
2022,0,3,8,2,0,13,in-river FSC,age batch,BCR,age batch details - Aug 2026,,,
2023,0,0,6,1,0,7,in-river FSC,age batch,BCR,age batch details - Aug 2026,,,
2024,0,0,8,1,0,9,in-river FSC,age batch,BCR,age batch details - Aug 2026,,,
2025,0,2,20,12,0,34,in-river FSC,age batch,BCR,age batch details - Aug 2026,,,
1971,0,0,35,5,0,40,Commercial,KM MSc -paper scale cards from PADs,Fitz Hugh Sound (8-16),area8_mixedstock_sockeye_agedata_1971_to_1987.xlsx,8/9 Boundary; SN,,12-Jul
1972,1,59,124,131,13,328,Commercial,KM MSc -paper scale cards from PADs,Fitz Hugh sound (8-4) Namu/Koeye,1972-0001 and 0002; area8_mixedstock_sockeye_agedata_1971_to_1987.xlsx,,,June 21- July 15
1973,0,0,12,13,0,25,Commercial,KM MSc -paper scale cards from PADs,Fitz Hugh Sound (8-16),area8_mixedstock_sockeye_agedata_1971_to_1987.xlsx,Addenbrooke light,,
1974,0,1,23,8,0,32,Commercial,original ATN spreadsheet,North Bentinck,Central Coast Age Database summary from Oct 31/89 ,,,17-Jul
1974,0,27,210,96,4,337,Commercial,original ATN spreadsheet,Dean/N. Bentinck/Atnarko,Central Coast Age Database summary from Oct 31/89 ,,,some ages found in KM MSC- but far fewer. Default to original accounting by MM and SCR
1975,0,0,685,63,0,748,Commercial,original ATN spreadsheet,Dean/N. Bentinck Arm,Central Coast Age Database summary from Oct 31/89 ,,,no ages from KM MSC for this year
1976,0,6,306,138,1,451,Commercial,original ATN spreadsheet,Fitzhugh/Dean/N. Bentinck,Central Coast Age Database summary from Oct 31/89 ,,,some ages found in KM MSC- but far fewer. Default to original accounting by MM and SCR
